"Cnt","Est","Est.km"
"Marshall Islands",44342487667.2931,44342.4876672931
"Marshall Islands",44342487667.2931,44342.4876672931
"Papua New Guinea",770694156.081663,770.694156081663
"Papua New Guinea",770694156.081663,770.694156081663
"Solomon Islands",26131092435.3371,26131.0924353371
"Solomon Islands",26131092435.3371,26131.0924353371
"Marshall Islands",44342487667.2931,44342.4876672931
"Marshall Islands",44342487667.2931,44342.4876672931
"Papua New Guinea",770694156.081663,770.694156081663
"Papua New Guinea",770694156.081663,770.694156081663
"Solomon Islands",26131092435.3371,26131.0924353371
"Solomon Islands",26131092435.3371,26131.0924353371
